trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.4, 'e': 0.22823046013534068}",25,17,14.518235788455305,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.22594815553398728}",25,9,27.06897226574961,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4, 'e': 0.22368867397864742}",25,7,-5.390782225820802,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.4, 'e': 0.22145178723886094}",25,13,-2.2644842985066,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.4, 'e': 0.21923726936647234}",20,1,17.488477669307652,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.4, 'e': 0.2170448966728076}",35,26,16.95638551409407,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4, 'e': 0.21487444770607952}",20,9,6.550570918362375,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.4, 'e': 0.21272570322901874}",30,0,11.492422602899493,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
155,False,"{'a': 0.4, 'e': 0.21059844619672854}",20,0,23.74590703479892,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.4, 'e': 0.20849246173476127}",25,14,-29.507927029039333,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.4, 'e': 0.20640753711741366}",20,11,4.892149961825832,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.4, 'e': 0.20434346174623952}",25,18,1.6468189772667192,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.4, 'e': 0.20230002712877712}",30,4,14.322937067149107,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.4, 'e': 0.20027702685748935}",30,20,18.2915349937928,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': 0.19827425658891445}",20,3,-18.03641340054161,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.4, 'e': 0.1962915140230253}",20,4,-1.46020045331455,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.19432859888279505}",20,0,25.62386856863942,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.4, 'e': 0.1923853128939671}",25,0,-9.548771362600514,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
165,False,"{'a': 0.4, 'e': 0.19046145976502743}",20,8,0.2958236078626071,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.18855684516737714}",25,8,-12.975688586568177,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': 0.18667127671570335}",20,8,21.615149615709104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': 0.18480456394854633}",25,3,35.07156877646738,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.18295651830906087}",25,11,2.1177306214664697,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.18112695312597027}",30,4,42.97065595449252,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
